"subj" "trial" "RT" "BPR_Resp" "ERR.code" "eat" "targ" "dist" "BPR_pic" "BPR_corrResp" "BPR_pos" "BPR_let" "BPR_ver" "BPR_rot" "task.soa" "cond" "targ_ID" "subset" "dist_ID" "sem.pair" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"37" 1 39 250 "/" "3" "sonafam1" "g_Schere.wav" "Schere__.bmp" "w_Schere.bmp" "000" 1 "26" "1" 26 0 0 0 4 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" 1 40 674 "/" "0" "sonafam1" "g_Pistol.wav" "Pistol__.bmp" "w_Pistol.bmp" "000" 1 "94" "9" 94 0 0 0 7 16 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" 1 41 721 "/" "0" "sonafam1" "g_Floete.wav" "Floete__.bmp" "w_Floete.bmp" "000" 1 "10" "2" 10 0 0 0 5 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" 1 42 664 "/" "0" "sonafam1" "g_Elefan.wav" "Elefan__.bmp" "w_Elefan.bmp" "000" 1 "06" "1" 6 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" 1 45 684 "/" "0" "sonafam2" "g_Trompe.wav" "Trompe__.bmp" "w_______.bmp" "000" 1 "31" "1" 31 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" 1 46 499 "/" "0" "sonafam2" "g_Schaf_.wav" "Schaf___.bmp" "w_______.bmp" "000" 1 "25" "1" 25 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" 1 47 475 "/" "0" "sonafam2" "g_Fahrra.wav" "Fahrra__.bmp" "w_______.bmp" "000" 1 "09" "1" 9 0 0 0 2 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" 1 48 885 "/" "0" "sonafam2" "g_Toilet.wav" "Toilet__.bmp" "w_______.bmp" "000" 1 "95" "9" 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" 1 49 730 "/" "0" "sonafam2" "g_Gitarr.wav" "Gitarr__.bmp" "w_______.bmp" "000" 1 "12" "1" 12 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" 1 50 2470 "/" "1" "sonafam2" "g_Esel__.wav" "Esel____.bmp" "w_______.bmp" "000" 1 "08" "2" 8 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
